Tooth,Perikymata,Length
CSMME 5E-15 RMand1,1,0.17
CSMME 5E-15 RMand1,2,0.184
CSMME 5E-15 RMand1,3,0.198
CSMME 5E-15 RMand1,4,0.143
CSMME 5E-15 RMand1,5,0.185
CSMME 5E-15 RMand1,6,0.122
CSMME 5E-15 RMand1,7,0.188
CSMME 5E-15 RMand1,8,0.146
CSMME 5E-15 RMand1,9,0.133
CSMME 5E-15 RMand1,10,0.11
CSMME 5E-15 RMand1,11,0.129
CSMME 5E-15 RMand1,12,0.093
CSMME 5E-15 RMand1,13,0.125
CSMME 5E-15 RMand1,14,0.125
CSMME 5E-15 RMand1,15,0.087
CSMME 5E-15 RMand1,16,0.123
CSMME 5E-15 RMand1,17,0.124
CSMME 5E-15 RMand1,18,0.109
CSMME 5E-15 RMand1,19,0.118
CSMME 5E-15 RMand1,20,0.115
CSMME 5E-15 RMand1,21,0.109
CSMME 5E-15 RMand1,22,0.095
CSMME 5E-15 RMand1,23,0.096
CSMME 5E-15 RMand1,24,0.11
CSMME 5E-15 RMand1,25,0.123
CSMME 5E-15 RMand1,26,0.123
CSMME 5E-15 RMand1,27,0.121
CSMME 5E-15 RMand1,28,0.15
CSMME 5E-15 RMand1,29,0.098
CSMME 5E-15 RMand1,30,0.12
CSMME 5E-15 RMand1,31,0.107
CSMME 5E-15 RMand1,32,0.109
CSMME 5E-15 RMand1,33,0.098
CSMME 5E-15 RMand1,34,0.102
CSMME 5E-15 RMand1,35,0.106
CSMME 5E-15 RMand1,36,0.113
CSMME 5E-15 RMand1,37,0.083
CSMME 5E-15 RMand1,38,0.099
CSMME 5E-15 RMand1,39,0.082
CSMME 5E-15 RMand1,40,0.079
CSMME 5E-15 RMand1,41,0.073
CSMME 5E-15 RMand1,42,0.069
CSMME 5E-15 RMand1,43,0.066
CSMME 5E-15 RMand1,44,0.063
CSMME 5E-15 RMand1,45,0.068
CSMME 5E-15 RMand1,46,0.054
CSMME 5E-15 RMand1,47,0.066
CSMME 5E-15 RMand1,48,0.05
CSMME 5E-15 RMand1,49,0.072
CSMME 5E-15 RMand1,50,0.043
CSMME 5E-15 RMand1,51,0.038
CSMME 5E-15 RMand1,52,0.041
CSMME 5E-15 RMand1,53,0.049
CSMME 5E-15 RMand1,54,0.073
CSMME 5E-15 RMand1,55,0.054
CSMME 5E-15 RMand1,56,0.049
CSMME 5E-15 RMand1,57,0.058
CSMME 5E-15 RMand1,58,0.044
CSMME 5E-15 RMand1,59,0.046
CSMME 5E-15 RMand1,60,0.057
CSMME 5E-15 RMand1,61,0.047
CSMME 5E-15 RMand1,62,0.039
CSMME 5E-15 RMand1,63,0.032
CSMME 5E-15 RMand1,64,0.038
CSMME 5E-15 RMand1,65,0.028
CSMME 5E-15 RMand1,66,0.054
CSMME 5E-15 RMand1,67,0.047
CSMME 5E-15 RMand1,68,0.055
CSMME 5E-15 RMand1,69,0.039
CSMME 5E-15 RMand1,70,0.03
CSMME 5E-15 RMand1,71,0.06
CSMME 5E-15 RMand1,72,0.044
CSMME 5E-15 RMand1,73,0.035
CSMME 5E-15 RMand1,74,0.043
CSMME 5E-15 RMand1,75,0.049
CSMME 5E-15 RMand1,76,0.044
CSMME 5E-15 RMand1,77,0.044
CSMME 5E-15 RMand1,78,0.03
CSMME 5E-15 RMand1,79,0.035
CSMME 5E-15 RMand1,80,0.031
CSMME 5E-15 RMand1,81,0.035
CSMME 5E-15 RMand1,82,0.047
CSMME 5E-15 RMand1,83,0.052
CSMME 5E-15 RMand1,84,0.036
CSMME 5E-15 RMand1,85,0.05
CSMME 5E-15 RMand1,86,0.03
CSMME 5E-15 RMand1,87,0.035
CSMME 5E-15 RMand1,88,0.03
CSMME 5E-15 RMand1,89,0.028
CSMME 5E-15 RMand1,90,0.054
CSMME 5E-15 RMand1,91,0.044
CSMME 5E-15 RMand1,92,0.057
CSMME 5E-15 RMand1,93,0.05
CSMME 5E-15 RMand1,94,0.05
CSMME 5E-15 RMand1,95,0.038
CSMME 5E-15 RMand1,96,0.025
CSMME 5E-15 RMand1,97,0.031
CSMME 5E-15 RMand1,98,0.035
CSMME 5E-15 RMand1,99,0.047
CSMME 5E-15 RMand1,100,0.03
CSMME 5E-15 RMand1,101,0.05
CSMME 5E-15 RMand1,102,0.032
CSMME 5E-15 RMand1,103,0.036
CSMME 5E-15 RMand1,104,0.041
CSMME 5E-15 RMand1,105,0.044
CSMME 5E-15 RMand1,106,0.049
CSMME 5E-15 RMand1,107,0.031
CSMME 5E-15 RMand1,108,0.032
CSMME 5E-15 RMand1,109,0.044
CSMME 5E-15 RMand1,110,0.039
CSMME 5E-15 RMand1,111,0.033
CSMME 5E-15 RMand1,112,0.025
CSMME 5E-15 RMand1,113,0.03
CSMME 5E-15 RMand1,114,0.032
CSMME 5E-15 RMand1,115,0.035
CSMME 5E-15 RMand1,116,0.035
CSMME 5E-15 RMand1,117,0.03
CSMME 5E-15 RMand1,118,0.02
CSMME 5E-15 RMand1,119,0.028
CSMME 5E-15 RMand1,120,0.035
CSMME 5E-15 RMand1,121,0.036
CSMME 5E-15 RMand1,122,0.039
CSMME 5E-15 RMand1,123,0.03
CSMME 5E-15 RMand1,124,0.033
CSMME 5E-15 RMand1,125,0.03
CSMME 5E-15 RMand2,1,0.165
CSMME 5E-15 RMand2,2,0.154
CSMME 5E-15 RMand2,3,0.112
CSMME 5E-15 RMand2,4,0.124
CSMME 5E-15 RMand2,5,0.099
CSMME 5E-15 RMand2,6,0.095
CSMME 5E-15 RMand2,7,0.08
CSMME 5E-15 RMand2,8,0.104
CSMME 5E-15 RMand2,9,0.098
CSMME 5E-15 RMand2,10,0.123
CSMME 5E-15 RMand2,11,0.102
CSMME 5E-15 RMand2,12,0.112
CSMME 5E-15 RMand2,13,0.098
CSMME 5E-15 RMand2,14,0.104
CSMME 5E-15 RMand2,15,0.09
CSMME 5E-15 RMand2,16,0.098
CSMME 5E-15 RMand2,17,0.082
CSMME 5E-15 RMand2,18,0.115
CSMME 5E-15 RMand2,19,0.139
CSMME 5E-15 RMand2,20,0.098
CSMME 5E-15 RMand2,21,0.11
CSMME 5E-15 RMand2,22,0.115
CSMME 5E-15 RMand2,23,0.095
CSMME 5E-15 RMand2,24,0.106
CSMME 5E-15 RMand2,25,0.071
CSMME 5E-15 RMand2,26,0.088
CSMME 5E-15 RMand2,27,0.11
CSMME 5E-15 RMand2,28,0.104
CSMME 5E-15 RMand2,29,0.087
CSMME 5E-15 RMand2,30,0.095
CSMME 5E-15 RMand2,31,0.104
CSMME 5E-15 RMand2,32,0.095
CSMME 5E-15 RMand2,33,0.099
CSMME 5E-15 RMand2,34,0.087
CSMME 5E-15 RMand2,35,0.088
CSMME 5E-15 RMand2,36,0.087
CSMME 5E-15 RMand2,37,0.082
CSMME 5E-15 RMand2,38,0.096
CSMME 5E-15 RMand2,39,0.079
CSMME 5E-15 RMand2,40,0.093
CSMME 5E-15 RMand2,41,0.096
CSMME 5E-15 RMand2,42,0.09
CSMME 5E-15 RMand2,43,0.09
CSMME 5E-15 RMand2,44,0.09
CSMME 5E-15 RMand2,45,0.069
CSMME 5E-15 RMand2,46,0.083
CSMME 5E-15 RMand2,47,0.087
CSMME 5E-15 RMand2,48,0.098
CSMME 5E-15 RMand2,49,0.096
CSMME 5E-15 RMand2,50,0.041
CSMME 5E-15 RMand2,51,0.066
CSMME 5E-15 RMand2,52,0.061
CSMME 5E-15 RMand2,53,0.057
CSMME 5E-15 RMand2,54,0.074
CSMME 5E-15 RMand2,55,0.068
CSMME 5E-15 RMand2,56,0.071
CSMME 5E-15 RMand2,57,0.077
CSMME 5E-15 RMand2,58,0.08
CSMME 5E-15 RMand2,59,0.065
CSMME 5E-15 RMand2,60,0.061
CSMME 5E-15 RMand2,61,0.05
CSMME 5E-15 RMand2,62,0.068
CSMME 5E-15 RMand2,63,0.052
CSMME 5E-15 RMand2,64,0.068
CSMME 5E-15 RMand2,65,0.073
CSMME 5E-15 RMand2,66,0.079
CSMME 5E-15 RMand2,67,0.047
CSMME 5E-15 RMand2,68,0.069
CSMME 5E-15 RMand2,69,0.05
CSMME 5E-15 RMand2,70,0.082
CSMME 5E-15 RMand2,71,0.087
CSMME 5E-15 RMand2,72,0.06
CSMME 5E-15 RMand2,73,0.069
CSMME 5E-15 RMand2,74,0.072
CSMME 5E-15 RMand2,75,0.061
CSMME 5E-15 RMand2,76,0.055
CSMME 5E-15 RMand2,77,0.046
CSMME 5E-15 RMand2,78,0.047
CSMME 5E-15 RMand2,79,0.041
CSMME 5E-15 RMand2,80,0.052
CSMME 5E-15 RMand2,81,0.038
CSMME 5E-15 RMand2,82,0.054
CSMME 5E-15 RMand2,83,0.036
CSMME 5E-15 RMand2,84,0.043
CSMME 5E-15 RMand2,85,0.05
CSMME 5E-15 RMand2,86,0.044
CSMME 5E-15 RMand2,87,0.043
CSMME 5E-15 RMand2,88,0.046
CSMME 5E-15 RMand2,89,0.054
CSMME 5E-15 RMand2,90,0.047
CSMME 5E-15 RMand2,91,0.068
CSMME 5E-15 RMand2,92,0.049
CSMME 5E-15 RMand2,93,0.036
CSMME 5E-15 RMand2,94,0.038
CSMME 5E-15 RMand2,95,0.05
CSMME 5E-15 RMand2,96,0.044
CSMME 5E-15 RMand2,97,0.047
CSMME 5E-15 RMand2,98,0.058
CSMME 5E-15 RMand2,99,0.028
CSMME 5E-15 RMand2,100,0.043
CSMME 5E-15 RMand2,101,0.032
CSMME 5E-15 RMand2,102,0.041
CSMME 5E-15 RMand2,103,0.041
CSMME 5E-15 RMand2,104,0.028
CSMME 5E-15 RMand2,105,0.041
CSMME 5E-15 RMand2,106,0.044
CSMME 5E-15 RMand2,107,0.03
CSMME 5E-15 RMand2,108,0.041
CSMME 5E-15 RMand2,109,0.035
CSMME 5E-15 RMand2,110,0.043
CSMME 5E-15 RMand2,111,0.052
CSMME 5E-15 RMand2,112,0.041
CSMME 5E-15 RMand2,113,0.028
CSMME 5E-15 RMand2,114,0.047
CSMME 5E-15 RMand2,115,0.027
CSMME 5E-15 RMand2,116,0.03
CSMME 5E-15 RMand2,117,0.03
CSMME 5E-15 RMand2,118,0.027
CSMME 5E-15 RMand2,119,0.029